Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-06-03;14:56:04;47,00;"SIN PLOMO 95";35,472;2;2026086491
2026-06-03;14:56:29;15,00;"SIN PLOMO 95";11,321;3;2026086492
2026-06-03;15:10:48;20,00;"SIN PLOMO 95";15,094;1;2026086493
2026-06-03;15:10:56;20,00;"GASOLEO A";12,995;2;2026086494
2026-06-03;15:14:59;10,00;"GASOLEO A";6,498;2;2026086495
2026-06-03;15:15:26;5,00;"SIN PLOMO 95";3,774;1;2026086496
2026-06-03;15:19:12;50,00;"GASOLEO A";32,489;4;2026086497
2026-06-03;15:34:28;41,45;"GASOLEO A";26,933;4;2026086498
2026-06-03;15:40:31;40,00;"SIN PLOMO 95";30,189;3;2026086499
2026-06-03;15:41:31;15,00;"GASOLEO A";9,747;1;2026006478
2026-06-03;15:43:28;20,00;"GASOLEO A";12,995;2;2026086501
2026-06-03;15:46:55;50,00;"GASOLEO A";32,489;2;2026006479
2026-06-03;15:47:16;20,00;"GASOLEO A";12,995;3;2026086503
2026-06-03;15:49:24;30,00;"GASOLEO A";19,493;4;2026086504
2026-06-03;15:50:13;9,00;"SIN PLOMO 95";6,792;1;2026006480
2026-06-03;15:52:05;20,00;"GASOLEO A";12,995;2;2026086505
2026-06-03;15:52:14;-0,08;"SIN PLOMO 95";-0,060;1;2026086506
2026-06-03;15:52:29;50,00;"GASOLEO A";32,489;4;2026086507
2026-06-03;15:57:05;10,00;"GASOLEO A";6,498;3;2026086508
2026-06-03;15:57:26;40,00;"GASOLEO A";25,991;1;2026086509
2026-06-03;16:03:12;20,00;"GASOLEO A";12,995;2;2026086510
2026-06-03;16:13:15;10,00;"GASOLEO A";6,498;2;2026086513
2026-06-03;16:17:16;50,00;"GASOLEO A";32,489;3;2026086514
2026-06-03;16:21:01;55,00;"SIN PLOMO 95";41,509;1;2026086515
2026-06-03;16:22:27;25,00;"GASOLEO A";16,244;3;2026086516
2026-06-03;16:22:53;30,00;"GASOLEO A";19,493;2;2026086517
2026-06-03;16:23:04;30,00;"GASOLEO A";19,493;4;2026086518
2026-06-03;16:27:29;52,00;"GASOLEO A";33,788;1;2026086519
2026-06-03;16:27:55;10,00;"SIN PLOMO 95";7,547;4;2026086520
2026-06-03;16:28:31;40,00;"GASOLEO A";25,991;2;2026006481
2026-06-03;16:28:50;10,00;"GASOLEO A";6,498;1;2026086521
2026-06-03;16:30:38;50,00;"GASOLEO A";32,489;4;2026086522
2026-06-03;16:33:23;30,00;"SIN PLOMO 95";22,642;3;2026086523
2026-06-03;16:33:59;10,00;"GASOLEO A";6,498;4;2026086524
2026-06-03;16:37:33;85,15;"GASOLEO A";55,328;2;2026086525
2026-06-03;16:43:38;30,00;"GASOLEO A";19,493;2;2026086526
2026-06-03;16:51:23;60,00;"GASOLEO A";38,986;2;2026086527
2026-06-03;16:52:09;10,00;"GASOLEO A";6,498;4;2026086528
2026-06-03;16:55:58;15,00;"GASOLEO A";9,747;2;2026086529
2026-06-03;16:59:43;36,58;"GASOLEO A";23,769;4;2026086530
2026-06-03;17:05:29;10,00;"GASOLEO A";6,498;2;2026086531
2026-06-03;17:05:58;5,00;"SIN PLOMO 95";3,774;3;2026086532
2026-06-03;17:10:48;20,00;"GASOLEO A";12,995;2;2026086534
2026-06-03;17:11:39;20,00;"GASOLEO A";12,995;4;2026086535
2026-06-03;17:15:53;30,00;"GASOLEO A";19,493;2;2026086537
2026-06-03;17:18:12;3,50;"GASOLEO A";2,274;4;2026086538
2026-06-03;17:18:55;20,00;"GASOLEO A";12,995;2;2026086540
2026-06-03;17:23:00;92,34;"GASOLEO A";60,000;1;2026006482
2026-06-03;17:24:32;20,00;"GASOLEO A";12,995;2;2026006483
2026-06-03;17:25:58;7,00;"SIN PLOMO 95";5,283;3;2026086541
2026-06-03;17:26:17;60,53;"GASOLEO A";39,331;4;2026086542
2026-06-03;17:28:27;30,00;"GASOLEO A";19,493;4;2026086543
2026-06-03;17:29:01;20,00;"GASOLEO A";12,995;2;2026086544
2026-06-03;17:32:07;20,00;"SIN PLOMO 95";15,094;3;2026086545
2026-06-03;17:32:27;30,00;"GASOLEO A";19,493;4;2026086546
2026-06-03;17:34:29;30,00;"GASOLEO A";19,493;1;2026086547
2026-06-03;17:35:52;81,17;"GASOLEO A";52,742;2;2026086548
2026-06-03;17:39:39;40,00;"GASOLEO A";25,991;3;2026086549
2026-06-03;17:42:52;50,00;"GASOLEO A";32,489;4;2026086550
2026-06-03;17:44:29;200,00;"GASOLEO A";129,955;2;2026006484
2026-06-03;17:45:17;10,00;"GASOLEO A";6,498;1;2026086551
2026-06-03;17:47:09;30,00;"GASOLEO A";19,493;4;2026086552
2026-06-03;17:48:35;20,00;"GASOLEO A";12,995;1;2026086553
2026-06-03;17:48:51;20,00;"GASOLEO A";12,995;4;2026086554
2026-06-03;17:50:28;10,00;"GASOLEO A";6,498;3;2026086555
2026-06-03;17:51:30;20,00;"GASOLEO A";12,995;4;2026086556
2026-06-03;17:52:50;8,00;"SIN PLOMO 95";6,038;1;2026086557
2026-06-03;17:58:41;20,00;"GASOLEO A";12,995;2;2026086560
2026-06-03;18:09:31;50,00;"GASOLEO A";32,489;2;2026086561
2026-06-03;18:10:27;15,00;"GASOLEO A";9,747;4;2026086562
2026-06-03;18:10:59;15,00;"GASOLEO A";9,747;3;2026086563
2026-06-03;18:11:28;10,00;"GASOLEO A";6,498;1;2026086564
2026-06-03;18:14:09;20,00;"GASOLEO A";12,995;4;2026086565
2026-06-03;18:14:41;50,00;"GASOLEO A";32,489;3;2026086566
2026-06-03;18:15:14;50,00;"GASOLEO A";32,489;2;2026006485
2026-06-03;18:16:12;20,00;"GASOLEO A";12,995;1;2026086567
2026-06-03;18:17:15;50,00;"GASOLEO A";32,489;4;2026086568
